,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M38,0.04151265,0.023321694,0.03576117,0.040769264,0.047741435,0.04115475,0.07176933,0.05270729,0.016454898,0.015242596,0.05203298,0.037938625,0.0114030475,0.02022676,0.07359268,0.019126227,0.059394613,0.04437148,0.059871078,0.013038483,0.06745031,0.02982165,0.039739426,0.03953162
M60,0.010460532,0.030139543,0.011933302,0.06785199,0.04086271,0.05424878,0.02046068,0.08115054,0.0062094666,0.018780254,0.044003204,0.029094916,0.026217949,0.026933817,0.039296247,0.06991318,0.035882488,0.008130359,0.049847987,0.026704423,0.031566493,0.06558561,0.047912903,0.051376306
M57,0.063251905,0.028128909,0.039393134,0.03373771,0.01746624,0.02407874,0.03744474,0.015916634,0.026777966,0.020470703,0.025331961,0.035002522,0.010457546,0.061709683,0.025793765,0.007952481,0.039665624,0.018022748,0.018490085,0.018488852,0.00075152644,0.042470545,0.022959264,0.046231944
M21,0.020430455,0.04177645,0.05904621,0.031685226,0.024162004,0.02661573,0.025798643,0.0690081,0.046358187,0.030598147,0.048326712,0.004272055,0.080261074,0.032308728,0.06668212,0.021709377,0.074605614,0.02980093,0.014564471,0.017608097,0.020445736,0.036117684,0.007889334,0.021227974
M15,0.09020928,0.05708403,0.070818014,0.028855093,0.037262034,0.0329396,0.047026537,0.06421162,0.08649909,0.06703116,0.034499463,0.07143088,0.05337718,0.018983781,0.11903282,0.038703084,0.022721926,0.039071955,0.03756617,0.032462753,0.030894352,0.03375113,0.09373734,0.019099101
M91,0.03724258,0.054497916,0.052996956,0.11516802,0.038983606,0.03585238,0.058781542,0.019006614,0.08289421,0.04598104,0.056344166,0.04878303,0.0400641,0.04704441,0.1224888,0.034332298,0.06361979,0.060177878,0.0142789055,0.04554729,0.05259059,0.030458434,0.031372152,0.04833377
M41,0.08099368,0.06309587,0.03791603,0.024044292,0.014838012,0.030083302,0.08744757,0.05818195,0.029233407,0.08227494,0.059375875,0.018427797,0.036930703,0.07203339,0.07171553,0.026046338,0.007077835,0.0069777775,0.029983332,0.055766717,0.07790507,0.015387814,0.036992837,0.027932838
M65,0.07866551,0.09761122,0.015365744,0.053804487,0.060601953,0.06144417,0.03601372,0.023675928,0.019623894,0.01325658,0.022017278,0.014819465,0.03383332,0.07352384,0.06870394,0.04938621,0.03420812,0.075260416,0.08517766,0.04717971,0.08858067,0.02722404,0.0603944,0.05993066
M85,0.093144074,0.032659072,0.030417956,0.057286207,0.044328097,0.064707294,0.047881886,0.046319097,0.0040084487,0.024368023,0.05921751,0.080483705,0.06911621,0.033046905,0.030267932,0.025682133,0.06491467,0.05287533,0.08189438,0.075404145,0.041314863,0.05130151,0.042973485,0.05300669
M4,0.040471874,0.0074170246,0.06624348,0.061989028,0.036836,0.09456462,0.04486498,0.077281274,0.021686357,0.0635964,0.08204786,0.055589125,0.031821046,0.05813687,0.039647404,0.07601795,0.08023164,0.015374346,0.105846286,0.04606855,0.043399,0.013369319,0.02080383,0.08531103
M26,0.111629896,0.06349227,0.071308926,0.04657727,0.07848748,0.045943007,0.00942527,0.015082355,0.03192375,0.031308316,0.022119554,0.033106845,0.051860847,0.0799767,0.092908666,0.04121492,0.034105267,0.04267041,0.014270832,0.060287327,0.06408997,0.061155215,0.057932183,0.08551808
M34,0.04270085,0.048741616,0.05326085,0.058278095,0.066414036,0.01834292,0.047170695,0.09375085,0.034509446,0.049877394,0.04788748,0.023644872,0.031213285,0.075052045,0.10309575,0.023496568,0.05006334,0.05794138,0.0380981,0.01582456,0.08762028,0.0838075,0.05317553,0.044182114
M2,0.05716469,0.03197705,0.07446787,0.04147454,0.018492337,0.07653345,0.009393425,0.08183777,0.056178756,0.02512686,0.057801604,0.0401433,0.035597343,0.08461513,0.03292191,0.097033225,0.03590434,0.063528575,0.012359236,0.021470858,0.066392064,0.08721989,0.050940927,0.044627346
M83,0.0760911,0.05692545,0.059606057,0.02684632,0.020880345,0.024198107,0.041652296,0.033494085,0.035073917,0.028670419,0.06289301,0.047930904,0.048380338,0.04357948,0.009380971,0.05145559,0.053115815,0.039725464,0.018689781,0.015679896,0.080812104,0.050786063,0.059459943,0.01412098
M63,0.07975882,0.068924576,0.06094062,0.099954225,0.13037577,0.13491227,0.055741686,0.058898345,0.09868274,0.045997452,0.036341187,0.030234715,0.048561987,0.033835277,0.03031526,0.036279574,0.08741275,0.08563883,0.011851713,0.076310635,0.03811493,0.05401997,0.036137585,0.0179141
M39,0.045103714,0.039461546,0.016922858,0.06315691,0.0343104,0.0641535,0.05968858,0.0667484,0.04699375,0.036658656,0.0964061,0.10527163,0.077960014,0.03703801,0.095681645,0.04701876,0.095439024,0.06508732,0.084680595,0.10020148,0.10103829,0.09077779,0.011393531,0.025504189
M51,0.07204553,0.02290878,0.050396957,0.08362143,0.045334008,0.034529224,0.06331858,0.019618483,0.036468353,0.06416989,0.10720761,0.06255761,0.0722327,0.036666162,0.029219717,0.04606432,0.031577248,0.041240025,0.058878794,0.06673894,0.06431616,0.06219971,0.032310244,0.036234815
