target,roi,batch_size,delta,p_value_fdr,significant_fdr,n_consistent,n_subjects,classification
vim,rh_paracentral_smooth3mm,3,-0.0007255844,0.6129435896873474,False,10,19,neither
vim,rh_postcentral_smooth3mm,3,-0.00051524077,0.6129435896873474,False,11,19,neither
vim,rh_precentral_smooth3mm,3,-0.00045939683,0.6129435896873474,False,14,19,neither
vim,rh_superiorfrontal_smooth3mm,3,-0.00059519976,0.6129435896873474,False,11,19,neither
zi,lh_Ca,3,-7.807402e-05,0.9555529356002808,False,11,19,neither
zi,lh_GPe,3,0.00014349134,0.9555529356002808,False,11,19,neither
zi,lh_GPi,3,2.3976458e-05,0.9555529356002808,False,13,19,neither
zi,lh_Pu,3,0.00053859345,0.9555529356002808,False,12,19,neither
zi,lh_STH,3,-0.00010377845,0.9555529356002808,False,10,19,neither
zi,lh_cerebellum_dentate,3,-0.00015102205,0.9555529356002808,False,14,19,neither
zi,lh_cerebellum_motor,3,-0.00022559857,0.9555529356002808,False,10,19,neither
zi,lh_paracentral_smooth3mm,3,3.05215e-05,0.9555529356002808,False,13,19,neither
zi,lh_postcentral_smooth3mm,3,0.00036538616,0.9555529356002808,False,11,19,neither
zi,lh_precentral_smooth3mm,3,0.00016801844,0.9555529356002808,False,10,19,neither
zi,lh_superiorfrontal_smooth3mm,3,4.9295002e-05,0.9555529356002808,False,10,19,neither
zi,lh_vim,3,0.00011625168,0.9555529356002808,False,11,19,neither
zi,lh_zi,3,0.00014706883,0.9555529356002808,False,12,19,neither
zi,rh_Ca,3,-0.00043064426,0.9555529356002808,False,14,19,neither
zi,rh_GPe,3,-2.0797414e-05,0.9555529356002808,False,10,19,neither
zi,rh_GPi,3,-0.00035626665,0.9555529356002808,False,11,19,neither
zi,rh_Pu,3,0.00021464667,0.9555529356002808,False,11,19,neither
zi,rh_STH,3,-0.0002913356,0.9555529356002808,False,12,19,neither
zi,rh_cerebellum_dentate,3,0.00015853776,0.9555529356002808,False,13,19,neither
zi,rh_cerebellum_motor,3,-0.00015231536,0.9555529356002808,False,11,19,neither
zi,rh_paracentral_smooth3mm,3,0.0002737518,0.9555529356002808,False,11,19,neither
zi,rh_postcentral_smooth3mm,3,-6.137543e-05,0.9555529356002808,False,12,19,neither
zi,rh_precentral_smooth3mm,3,1.8232944e-05,0.9555529356002808,False,10,19,neither
zi,rh_superiorfrontal_smooth3mm,3,-0.00043199168,0.9555529356002808,False,12,19,neither
vim,lh_Ca,4,-0.00017598017,0.7017784335396506,False,10,19,neither
vim,lh_GPe,4,-0.00015393135,0.7017784335396506,False,12,19,neither
vim,lh_GPi,4,-0.001041635,0.0975040197372436,False,16,19,consistency_threshold
vim,lh_Pu,4,-0.00019433266,0.7017784335396506,False,12,19,neither
vim,lh_STH,4,-0.0005052884,0.2761053889989853,False,11,19,neither
vim,lh_cerebellum_dentate,4,0.00045969494,0.2083239555358886,False,12,19,neither
vim,lh_cerebellum_motor,4,-0.00088244193,0.0424491455778479,True,10,19,fdr_significant
vim,lh_paracentral_smooth3mm,4,-0.0006524391,0.1605296043249277,False,13,19,neither
vim,lh_postcentral_smooth3mm,4,-0.0006442466,0.0829151775687933,False,15,19,consistency_threshold
vim,lh_precentral_smooth3mm,4,-0.0005975322,0.1164598703384399,False,12,19,neither
vim,lh_superiorfrontal_smooth3mm,4,-0.00058744545,0.1605296043249277,False,11,19,neither
vim,lh_vim,4,-0.00047168223,0.1642068539346967,False,12,19,neither
vim,lh_zi,4,-0.0010014503,0.0064715717453509,True,17,19,fdr_significant
vim,rh_Ca,4,-0.00041384838,0.3956551551818847,False,11,19,neither
vim,rh_GPe,4,-6.717115e-05,0.8415595137554666,False,12,19,neither
vim,rh_GPi,4,0.000834587,0.0975040197372436,False,13,19,neither
vim,rh_Pu,4,0.00016839952,0.5424534898055228,False,10,19,neither
vim,rh_STH,4,-2.1180726e-06,0.9941142201423644,False,13,19,neither
