target,seed_type,seed_value,roi,delta,p_value_fdr,significant_fdr,n_consistent,n_subjects,classification
vim,SPLIT_SEED,42,rh_Ca,6.727982e-05,0.9119680446127186,False,12,19,neither
vim,SPLIT_SEED,42,rh_GPe,0.00019974007,0.4417486871991838,False,14,19,neither
vim,SPLIT_SEED,42,rh_GPi,0.0013047233,0.0297089209780097,True,13,19,fdr_significant
vim,SPLIT_SEED,42,rh_Pu,0.00045369437,0.1688895151019096,False,11,19,neither
vim,SPLIT_SEED,42,rh_STH,0.00063964195,0.2364690133503505,False,11,19,neither
vim,SPLIT_SEED,42,rh_cerebellum_dentate,-0.00011219555,0.8847873838324296,False,11,19,neither
vim,SPLIT_SEED,42,rh_cerebellum_motor,-0.00033198926,0.2706001509319652,False,12,19,neither
vim,SPLIT_SEED,42,rh_paracentral_smooth3mm,-0.00065335556,0.2364690133503505,False,11,19,neither
vim,SPLIT_SEED,42,rh_postcentral_smooth3mm,-0.00021814545,0.5516034364700317,False,11,19,neither
vim,SPLIT_SEED,42,rh_precentral_smooth3mm,-0.0003298898,0.2706001509319652,False,15,19,consistency_threshold
vim,SPLIT_SEED,42,rh_superiorfrontal_smooth3mm,-7.401564e-06,0.9734761118888856,False,13,19,neither
zi,SPLIT_SEED,42,lh_Ca,-2.8645522e-07,0.9991849660873412,False,10,19,neither
zi,SPLIT_SEED,42,lh_GPe,0.00021576803,0.8699552218119303,False,11,19,neither
zi,SPLIT_SEED,42,lh_GPi,-0.00039476706,0.54854873248509,False,16,19,consistency_threshold
zi,SPLIT_SEED,42,lh_Pu,6.709413e-05,0.8938219330527566,False,10,19,neither
zi,SPLIT_SEED,42,lh_STH,-4.0625e-05,0.8938219330527566,False,11,19,neither
zi,SPLIT_SEED,42,lh_cerebellum_dentate,7.889126e-05,0.8699552218119303,False,11,19,neither
zi,SPLIT_SEED,42,lh_cerebellum_motor,-0.000528419,0.1396129041910171,False,13,19,neither
zi,SPLIT_SEED,42,lh_paracentral_smooth3mm,-0.00012328848,0.8699552218119303,False,10,19,neither
zi,SPLIT_SEED,42,lh_postcentral_smooth3mm,0.00022553753,0.6244700871981108,False,11,19,neither
zi,SPLIT_SEED,42,lh_precentral_smooth3mm,-0.00030472747,0.1396129041910171,False,10,19,neither
zi,SPLIT_SEED,42,lh_superiorfrontal_smooth3mm,0.00016089827,0.7101735387529645,False,13,19,neither
zi,SPLIT_SEED,42,lh_vim,-0.00017058487,0.6094128489494324,False,10,19,neither
zi,SPLIT_SEED,42,lh_zi,-0.00026471668,0.6094128489494324,False,10,19,neither
zi,SPLIT_SEED,42,rh_Ca,-0.0004037332,0.1533708572387695,False,13,19,neither
zi,SPLIT_SEED,42,rh_GPe,-0.00044445027,0.1396129041910171,False,14,19,neither
zi,SPLIT_SEED,42,rh_GPi,0.00041288725,0.6094128489494324,False,10,19,neither
zi,SPLIT_SEED,42,rh_Pu,0.00029015893,0.6094128489494324,False,13,19,neither
zi,SPLIT_SEED,42,rh_STH,-0.00015219222,0.8699552218119303,False,10,19,neither
zi,SPLIT_SEED,42,rh_cerebellum_dentate,-0.00029378737,0.6094128489494324,False,12,19,neither
zi,SPLIT_SEED,42,rh_cerebellum_motor,-7.658595e-05,0.8938219330527566,False,12,19,neither
zi,SPLIT_SEED,42,rh_paracentral_smooth3mm,9.54486e-05,0.8938219330527566,False,12,19,neither
zi,SPLIT_SEED,42,rh_postcentral_smooth3mm,3.6529411e-06,0.9991849660873412,False,12,19,neither
zi,SPLIT_SEED,42,rh_precentral_smooth3mm,-0.00048737298,0.1396129041910171,False,15,19,consistency_threshold
zi,SPLIT_SEED,42,rh_superiorfrontal_smooth3mm,-0.00048820293,0.1396129041910171,False,12,19,neither
vim,SPLIT_SEED,123,lh_Ca,-6.954856e-05,0.9988221526145936,False,10,19,neither
vim,SPLIT_SEED,123,lh_GPe,0.00048574703,0.6337370127439499,False,11,19,neither
vim,SPLIT_SEED,123,lh_GPi,-2.1458456e-05,0.9988221526145936,False,10,19,neither
vim,SPLIT_SEED,123,lh_Pu,-2.4172134e-05,0.9988221526145936,False,10,19,neither
vim,SPLIT_SEED,123,lh_STH,-7.21376e-05,0.9988221526145936,False,11,19,neither
vim,SPLIT_SEED,123,lh_cerebellum_dentate,-3.1572912e-05,0.9988221526145936,False,10,19,neither
vim,SPLIT_SEED,123,lh_cerebellum_motor,0.00014928434,0.9988221526145936,False,13,19,neither
vim,SPLIT_SEED,123,lh_paracentral_smooth3mm,2.5409789e-05,0.9988221526145936,False,12,19,neither
vim,SPLIT_SEED,123,lh_postcentral_smooth3mm,0.00023863425,0.9988221526145936,False,10,19,neither
vim,SPLIT_SEED,123,lh_precentral_smooth3mm,-6.5709086e-05,0.9988221526145936,False,12,19,neither
vim,SPLIT_SEED,123,lh_superiorfrontal_smooth3mm,-5.3006177e-05,0.9988221526145936,False,10,19,neither
vim,SPLIT_SEED,123,lh_vim,0.00034794325,0.6337370127439499,False,12,19,neither
vim,SPLIT_SEED,123,lh_zi,0.00025655623,0.9988221526145936,False,10,19,neither
vim,SPLIT_SEED,123,rh_Ca,-2.1305841e-07,0.9988221526145936,False,11,19,neither
vim,SPLIT_SEED,123,rh_GPe,4.727354e-05,0.9988221526145936,False,10,19,neither
vim,SPLIT_SEED,123,rh_GPi,0.0003945995,0.6337370127439499,False,11,19,neither
vim,SPLIT_SEED,123,rh_Pu,8.01258e-05,0.9988221526145936,False,12,19,neither
vim,SPLIT_SEED,123,rh_STH,0.0002432941,0.9459115266799928,False,10,19,neither
vim,SPLIT_SEED,123,rh_cerebellum_dentate,0.0003208318,0.9459115266799928,False,13,19,neither
vim,SPLIT_SEED,123,rh_cerebellum_motor,-2.0209995e-05,0.9988221526145936,False,12,19,neither
vim,SPLIT_SEED,123,rh_paracentral_smooth3mm,0.00039792256,0.9988221526145936,False,11,19,neither
vim,SPLIT_SEED,123,rh_postcentral_smooth3mm,0.0003436094,0.9988221526145936,False,11,19,neither
vim,SPLIT_SEED,123,rh_precentral_smooth3mm,0.00046608647,0.6337370127439499,False,12,19,neither
vim,SPLIT_SEED,123,rh_superiorfrontal_smooth3mm,-9.12353e-05,0.9988221526145936,False,11,19,neither
zi,SPLIT_SEED,123,lh_Ca,-0.00015307491,0.7526811872209821,False,11,19,neither
zi,SPLIT_SEED,123,lh_GPe,0.00027570128,0.4499745965003967,False,18,19,consistency_threshold
zi,SPLIT_SEED,123,lh_GPi,0.0005682346,0.2441971600055694,False,13,19,neither
zi,SPLIT_SEED,123,lh_Pu,0.0002064547,0.4499745965003967,False,13,19,neither
zi,SPLIT_SEED,123,lh_STH,-2.615144e-05,0.970045268535614,False,11,19,neither
zi,SPLIT_SEED,123,lh_cerebellum_dentate,-0.00025965038,0.4770134595724253,False,10,19,neither
zi,SPLIT_SEED,123,lh_cerebellum_motor,1.1877672e-05,0.970045268535614,False,14,19,neither
zi,SPLIT_SEED,123,lh_paracentral_smooth3mm,-0.0002172694,0.4449657797813415,False,10,19,neither
zi,SPLIT_SEED,123,lh_postcentral_smooth3mm,0.0010129658,0.0391801856458187,True,15,19,fdr_significant
zi,SPLIT_SEED,123,lh_precentral_smooth3mm,-6.9331385e-05,0.970045268535614,False,10,19,neither
zi,SPLIT_SEED,123,lh_superiorfrontal_smooth3mm,0.00048265763,0.2025460175105503,False,11,19,neither
zi,SPLIT_SEED,123,lh_vim,-8.390226e-05,0.970045268535614,False,11,19,neither
zi,SPLIT_SEED,123,lh_zi,0.00068559573,0.0486774947494268,True,13,19,fdr_significant
zi,SPLIT_SEED,123,rh_Ca,-0.0002517527,0.3240633209546407,False,12,19,neither
zi,SPLIT_SEED,123,rh_GPe,-2.035582e-05,0.970045268535614,False,13,19,neither
zi,SPLIT_SEED,123,rh_GPi,6.908492e-05,0.970045268535614,False,10,19,neither
zi,SPLIT_SEED,123,rh_Pu,4.4174296e-05,0.970045268535614,False,12,19,neither
zi,SPLIT_SEED,123,rh_STH,-1.2279696e-05,0.970045268535614,False,11,19,neither
zi,SPLIT_SEED,123,rh_cerebellum_dentate,0.00059251214,0.0372929144650697,True,13,19,fdr_significant
zi,SPLIT_SEED,123,rh_cerebellum_motor,-7.304275e-05,0.970045268535614,False,10,19,neither
zi,SPLIT_SEED,123,rh_paracentral_smooth3mm,0.001144112,0.0372929144650697,True,15,19,fdr_significant
